,Topic,Question,Platform,URL,Notes,Difficulty,Completion
71,Binary Trees & BST,Serialize and Deserialize Binary Tree,LeetCode,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,,Hard,Need to Start
72,Binary Trees & BST,Kth Smallest Element in a BST,LeetCode,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,,Medium,Need to Start
73,Graphs,Number of Islands,LeetCode,https://leetcode.com/problems/number-of-islands/,,Medium,Need to Start
74,Graphs,Clone Graph,LeetCode,https://leetcode.com/problems/clone-graph/,,Medium,Need to Start
75,Graphs,Course Schedule,LeetCode,https://leetcode.com/problems/course-schedule/,,Medium,Need to Start
76,Graphs,Course Schedule II,LeetCode,https://leetcode.com/problems/course-schedule-ii/,,Medium,Need to Start
77,Graphs,Rotting Oranges,LeetCode,https://leetcode.com/problems/rotting-oranges/,,Medium,Need to Start
78,Graphs,Word Ladder,LeetCode,https://leetcode.com/problems/word-ladder/,,Hard,Need to Start
79,Graphs,Pacific Atlantic Water Flow,LeetCode,https://leetcode.com/problems/pacific-atlantic-water-flow/,,Medium,Need to Start
80,Graphs,Evaluate Division,LeetCode,https://leetcode.com/problems/evaluate-division/,,Medium,Need to Start
81,Graphs,Graph Valid Tree,LeetCode,https://leetcode.com/problems/graph-valid-tree/,,Medium,Need to Start
82,Graphs,Minimum Spanning Tree (Kruskal/Prim) - GfG,GeeksforGeeks,https://www.geeksforgeeks.org/kruskals-minimum-spanning-tree-algorithm/,Concept + practice on GfG,Medium,Need to Start
83,Graphs,Dijkstra's Shortest Path - GfG,GeeksforGeeks,https://www.geeksforgeeks.org/dijkstras-shortest-path-algorithm-greedy-algo-7/,Concept + practice on GfG,Medium,Need to Start
84,Graphs,Redundant Connection,LeetCode,https://leetcode.com/problems/redundant-connection/,,Medium,Need to Start
85,Dynamic Programming,Climbing Stairs,LeetCode,https://leetcode.com/problems/climbing-stairs/,,Easy,Need to Start
86,Dynamic Programming,House Robber,LeetCode,https://leetcode.com/problems/house-robber/,,Medium,Need to Start
87,Dynamic Programming,House Robber II,LeetCode,https://leetcode.com/problems/house-robber-ii/,,Medium,Need to Start
88,Dynamic Programming,Coin Change,LeetCode,https://leetcode.com/problems/coin-change/,,Medium,Need to Start
89,Dynamic Programming,Longest Increasing Subsequence,LeetCode,https://leetcode.com/problems/longest-increasing-subsequence/,,Medium,Need to Start
90,Dynamic Programming,Longest Common Subsequence,LeetCode,https://leetcode.com/problems/longest-common-subsequence/,,Medium,Need to Start
91,Dynamic Programming,Unique Paths,LeetCode,https://leetcode.com/problems/unique-paths/,,Medium,Need to Start
92,Dynamic Programming,Decode Ways,LeetCode,https://leetcode.com/problems/decode-ways/,,Medium,Need to Start
93,Dynamic Programming,Word Break,LeetCode,https://leetcode.com/problems/word-break/,,Medium,Need to Start
94,Dynamic Programming,Partition Equal Subset Sum,LeetCode,https://leetcode.com/problems/partition-equal-subset-sum/,,Medium,Need to Start
95,Dynamic Programming,Edit Distance,LeetCode,https://leetcode.com/problems/edit-distance/,,Hard,Need to Start
96,Dynamic Programming,Jump Game,LeetCode,https://leetcode.com/problems/jump-game/,,Medium,Need to Start
97,Backtracking & Recursion,Subsets,LeetCode,https://leetcode.com/problems/subsets/,,Medium,Need to Start
98,Backtracking & Recursion,Subsets II,LeetCode,https://leetcode.com/problems/subsets-ii/,,Medium,Need to Start
99,Backtracking & Recursion,Permutations,LeetCode,https://leetcode.com/problems/permutations/,,Medium,Need to Start
100,Backtracking & Recursion,Permutations II,LeetCode,https://leetcode.com/problems/permutations-ii/,,Medium,Need to Start
101,Backtracking & Recursion,Combination Sum,LeetCode,https://leetcode.com/problems/combination-sum/,,Medium,Need to Start
102,Backtracking & Recursion,Combination Sum II,LeetCode,https://leetcode.com/problems/combination-sum-ii/,,Medium,Need to Start
103,Backtracking & Recursion,Combinations,LeetCode,https://leetcode.com/problems/combinations/,,Medium,Need to Start
104,Backtracking & Recursion,Generate Parentheses,LeetCode,https://leetcode.com/problems/generate-parentheses/,,Medium,Need to Start
105,Backtracking & Recursion,Letter Combinations of a Phone Number,LeetCode,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,,Medium,Need to Start
106,Backtracking & Recursion,N-Queens,LeetCode,https://leetcode.com/problems/n-queens/,,Hard,Need to Start
107,Backtracking & Recursion,Word Search,LeetCode,https://leetcode.com/problems/word-search/,,Medium,Need to Start
108,Backtracking & Recursion,Palindrome Partitioning,LeetCode,https://leetcode.com/problems/palindrome-partitioning/,,Medium,Need to Start
109,Heaps & Priority Queue,Kth Largest Element in an Array,LeetCode,https://leetcode.com/problems/kth-largest-element-in-an-array/,,Medium,Need to Start
110,Heaps & Priority Queue,Top K Frequent Elements,LeetCode,https://leetcode.com/problems/top-k-frequent-elements/,,Medium,Need to Start
111,Heaps & Priority Queue,K Closest Points to Origin,LeetCode,https://leetcode.com/problems/k-closest-points-to-origin/,,Medium,Need to Start
112,Heaps & Priority Queue,Merge k Sorted Lists,LeetCode,https://leetcode.com/problems/merge-k-sorted-lists/,,Medium,Need to Start
113,Heaps & Priority Queue,Find Median from Data Stream,LeetCode,https://leetcode.com/problems/find-median-from-data-stream/,,Medium,Need to Start
114,Heaps & Priority Queue,Task Scheduler,LeetCode,https://leetcode.com/problems/task-scheduler/,,Medium,Need to Start
115,Heaps & Priority Queue,Reorganize String,LeetCode,https://leetcode.com/problems/reorganize-string/,,Medium,Need to Start
116,Heaps & Priority Queue,IPO,LeetCode,https://leetcode.com/problems/ipo/,,Medium,Need to Start
117,Heaps & Priority Queue,Ugly Number II (DP+Heap),LeetCode,https://leetcode.com/problems/ugly-number-ii/,,Medium,Need to Start
118,Heaps & Priority Queue,Minimum Cost to Connect Sticks,LeetCode,https://leetcode.com/problems/minimum-cost-to-connect-sticks/,,Medium,Need to Start
119,Heaps & Priority Queue,Swim in Rising Water,LeetCode,https://leetcode.com/problems/swim-in-rising-water/,,Medium,Need to Start
120,Heaps & Priority Queue,Reduce Array Size to The Half,LeetCode,https://leetcode.com/problems/reduce-array-size-to-the-half/,,Medium,Need to Start
121,Sliding Window & Two Pointers,Longest Substring Without Repeating Characters,LeetCode,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,Medium,Need to Start
122,Sliding Window & Two Pointers,Minimum Window Substring,LeetCode,https://leetcode.com/problems/minimum-window-substring/,,Hard,Need to Start
123,Sliding Window & Two Pointers,Longest Repeating Character Replacement,LeetCode,https://leetcode.com/problems/longest-repeating-character-replacement/,,Medium,Need to Start
124,Sliding Window & Two Pointers,Sliding Window Maximum,LeetCode,https://leetcode.com/problems/sliding-window-maximum/,,Medium,Need to Start
125,Sliding Window & Two Pointers,Fruit Into Baskets,LeetCode,https://leetcode.com/problems/fruit-into-baskets/,,Medium,Need to Start
126,Sliding Window & Two Pointers,Subarray Product Less Than K,LeetCode,https://leetcode.com/problems/subarray-product-less-than-k/,,Medium,Need to Start
127,Sliding Window & Two Pointers,3Sum,LeetCode,https://leetcode.com/problems/3sum/,,Medium,Need to Start
128,Sliding Window & Two Pointers,Container With Most Water,LeetCode,https://leetcode.com/problems/container-with-most-water/,,Medium,Need to Start
129,Sliding Window & Two Pointers,Trapping Rain Water,LeetCode,https://leetcode.com/problems/trapping-rain-water/,,Hard,Need to Start
130,Sliding Window & Two Pointers,Backspace String Compare,LeetCode,https://leetcode.com/problems/backspace-string-compare/,,Medium,Need to Start
131,Sliding Window & Two Pointers,Find All Anagrams in a String,LeetCode,https://leetcode.com/problems/find-all-anagrams-in-a-string/,,Medium,Need to Start
132,Sliding Window & Two Pointers,Longest Subarray of 1's After Deleting One Element,LeetCode,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/,,Medium,Need to Start
133,Intervals & Greedy,Merge Intervals,LeetCode,https://leetcode.com/problems/merge-intervals/,,Medium,Need to Start
134,Intervals & Greedy,Non-overlapping Intervals,LeetCode,https://leetcode.com/problems/non-overlapping-intervals/,,Medium,Need to Start
135,Intervals & Greedy,Insert Interval,LeetCode,https://leetcode.com/problems/insert-interval/,,Medium,Need to Start
136,Intervals & Greedy,Meeting Rooms (I/II),LeetCode,https://leetcode.com/problems/meeting-rooms-ii/,,Medium,Need to Start
137,Intervals & Greedy,Minimum Number of Arrows to Burst Balloons,LeetCode,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,,Medium,Need to Start
138,Intervals & Greedy,Gas Station,LeetCode,https://leetcode.com/problems/gas-station/,,Medium,Need to Start
139,Intervals & Greedy,Hand of Straights,LeetCode,https://leetcode.com/problems/hand-of-straights/,,Medium,Need to Start
140,Intervals & Greedy,Partition Labels,LeetCode,https://leetcode.com/problems/partition-labels/,,Medium,Need to Start
141,Intervals & Greedy,Reconstruct Itinerary,LeetCode,https://leetcode.com/problems/reconstruct-itinerary/,,Medium,Need to Start
142,Intervals & Greedy,Jump Game,LeetCode,https://leetcode.com/problems/jump-game/,,Medium,Need to Start
143,Intervals & Greedy,Boats to Save People,LeetCode,https://leetcode.com/problems/boats-to-save-people/,,Medium,Need to Start
144,Intervals & Greedy,Task Scheduler,LeetCode,https://leetcode.com/problems/task-scheduler/,,Medium,Need to Start
